                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.59851,                0.44985,                 1.0839,                0.99165,                      1,                0.99074,                0.92199,                0.36324,                0.32692,                0.88893,             0.00056128,             0.00056128,             0.00056128
                     70,                0.63304,                0.45485,                 1.1117,                0.99249,                      1,                0.99118,                 0.9243,                0.36859,                0.32377,                0.88733,             0.00054478,             0.00054478,             0.00054478
                     71,                0.66726,                0.45479,                 1.1194,                0.99304,                      1,                0.99265,                0.92588,                0.39468,                0.35245,                0.89357,             0.00052827,             0.00052827,             0.00052827
                     72,                0.65451,                0.46514,                 1.1155,                0.99165,                      1,                0.99147,                0.91656,                0.38762,                0.33957,                0.89589,             0.00051177,             0.00051177,             0.00051177
                     73,                 0.6229,                 0.4409,                 1.0509,                0.99255,                      1,                0.99118,                0.93092,                0.37262,                0.33406,                0.87729,             0.00049527,             0.00049527,             0.00049527
                     74,                0.64612,                0.45117,                 1.1145,                 0.9927,                      1,                0.99196,                0.92878,                0.40148,                0.35621,                0.88834,             0.00047876,             0.00047876,             0.00047876
                     75,                0.58715,                 0.4314,                 1.0854,                0.99246,                      1,                0.99333,                0.93341,                0.35483,                0.32553,                0.88358,             0.00046226,             0.00046226,             0.00046226
                     76,                0.57156,                0.40902,                 1.0428,                0.99218,                      1,                0.99265,                0.93354,                0.34961,                0.31146,                 0.8784,             0.00044576,             0.00044576,             0.00044576
                     77,                0.61411,                0.43336,                 1.0998,                0.99254,                      1,                0.99216,                0.91225,                0.38934,                0.32825,                0.89224,             0.00042925,             0.00042925,             0.00042925
                     78,                0.63677,                0.44396,                 1.0974,                0.99281,                      1,                0.99417,                0.91849,                0.41317,                0.33169,                 0.9062,             0.00041275,             0.00041275,             0.00041275
                     79,                0.59422,                0.43233,                 1.0871,                0.99254,                      1,                0.99299,                0.92159,                0.36179,                0.31064,                0.90118,             0.00039625,             0.00039625,             0.00039625
                     80,                 0.6048,                0.41959,                 1.0585,                0.99202,                      1,                0.99314,                0.94311,                0.35471,                0.31229,                 0.8881,             0.00037974,             0.00037974,             0.00037974
                     81,                0.61573,                0.42984,                 1.0862,                0.99205,                      1,                0.99328,                0.93526,                0.33465,                0.30788,                0.88218,             0.00036324,             0.00036324,             0.00036324
                     82,                0.63112,                0.44237,                 1.0732,                0.99238,                      1,                0.99363,                0.93555,                0.34831,                0.31603,                0.87873,             0.00034674,             0.00034674,             0.00034674
                     83,                0.64247,                0.42153,                 1.0647,                0.99263,                      1,                0.99319,                0.93638,                0.34747,                0.30487,                0.87274,             0.00033023,             0.00033023,             0.00033023
                     84,                0.61769,                0.42092,                 1.0889,                0.99247,                      1,                0.99373,                0.92427,                0.37988,                0.31713,                0.89016,             0.00031373,             0.00031373,             0.00031373
                     85,                0.59144,                0.40975,                 1.0729,                0.99222,                      1,                0.99333,                0.93236,                 0.3448,                 0.3025,                0.88147,             0.00029723,             0.00029723,             0.00029723
                     86,                0.59284,                0.40161,                 1.0255,                0.99252,                      1,                0.99324,                 0.9294,                0.34605,                 0.3097,                0.87542,             0.00028072,             0.00028072,             0.00028072
                     87,                0.60291,                0.40267,                 1.0455,                0.99294,                      1,                0.99279,                0.93002,                0.34659,                0.29495,                0.87717,             0.00026422,             0.00026422,             0.00026422
                     88,                0.58077,                0.40462,                 1.0498,                0.99251,                      1,                0.99162,                0.93819,                0.31675,                0.28668,                0.87169,             0.00024772,             0.00024772,             0.00024772
                     89,                0.56998,                 0.4054,                 1.0638,                0.99223,                      1,                0.99235,                0.93555,                0.31468,                0.28654,                0.87452,             0.00023121,             0.00023121,             0.00023121
                     90,                0.57336,                0.40873,                 1.0315,                0.99241,                      1,                0.99255,                0.93992,                0.32316,                0.30722,                0.87662,             0.00021471,             0.00021471,             0.00021471
                     91,                 0.5444,                0.43881,                0.98199,                0.99237,                      1,                0.99216,                0.93372,                0.37395,                0.31915,                0.88292,             0.00019821,             0.00019821,             0.00019821
                     92,                0.50233,                 0.3979,                0.96848,                0.99181,                      1,                0.99201,                0.93414,                0.33155,                0.29782,                0.86705,              0.0001817,              0.0001817,              0.0001817
                     93,                0.48039,                0.37985,                0.95799,                0.99195,                      1,                0.99167,                 0.9368,                0.34515,                0.29731,                0.86644,              0.0001652,              0.0001652,              0.0001652
                     94,                0.49104,                0.35984,                 0.9535,                0.99242,                      1,                0.99225,                0.94348,                0.31763,                0.28444,                0.85647,              0.0001487,              0.0001487,              0.0001487
                     95,                0.46324,                0.37134,                0.96094,                0.99271,                      1,                0.99221,                0.93838,                 0.3213,                0.28313,                 0.8561,             0.00013219,             0.00013219,             0.00013219
                     96,                0.48037,                 0.3698,                0.97549,                0.99265,                      1,                0.99172,                0.94254,                0.30825,                0.27728,                0.85318,             0.00011569,             0.00011569,             0.00011569
                     97,                0.50557,                0.37394,                0.96748,                0.99258,                      1,                0.99206,                0.94169,                0.30826,                0.27556,                0.85287,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.46083,                0.35258,                0.96223,                0.99257,                      1,                 0.9925,                0.93863,                0.30672,                0.27903,                0.85182,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.45851,                0.36578,                0.95786,                0.99257,                      1,                 0.9927,                0.94411,                0.29804,                0.27124,                0.85181,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.43942,                 0.3631,                0.93187,                 0.9924,                      1,                0.99255,                 0.9459,                0.29259,                0.26834,                0.84812,             4.9677e-05,             4.9677e-05,             4.9677e-05
