                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.65605,                 0.4402,                0.98342,                0.88077,                0.87729,                0.92727,                0.68909,                0.90377,                0.40354,                 1.1438,              0.0002278,              0.0002278,              0.0002278
                     80,                0.67632,                0.46359,                 0.9998,                0.91117,                0.89964,                 0.9166,                0.67647,                0.88951,                0.39129,                 1.1446,              0.0002179,              0.0002179,              0.0002179
                     81,                 0.6341,                0.42523,                0.97554,                0.91675,                0.89988,                0.93351,                0.69001,                0.90958,                 0.3933,                   1.16,               0.000208,               0.000208,               0.000208
                     82,                0.65173,                0.46157,                0.99174,                0.92732,                0.88954,                0.92341,                0.68533,                0.92391,                0.40165,                 1.1803,              0.0001981,              0.0001981,              0.0001981
                     83,                0.65181,                0.43397,                0.97573,                0.91758,                0.82593,                0.88997,                0.68448,                0.86279,                0.40695,                 1.1204,              0.0001882,              0.0001882,              0.0001882
                     84,                0.65286,                0.44802,                 0.9876,                 0.9525,                0.82593,                0.88946,                0.66876,                0.88639,                0.42737,                 1.1184,              0.0001783,              0.0001783,              0.0001783
                     85,                0.64155,                 0.4437,                0.98666,                0.94751,                0.84188,                0.89812,                0.69795,                0.87476,                0.42326,                 1.1138,              0.0001684,              0.0001684,              0.0001684
                     86,                0.61262,                0.40665,                0.96262,                0.93073,                0.85114,                0.89872,                0.68914,                 0.8867,                 0.4078,                 1.1206,              0.0001585,              0.0001585,              0.0001585
                     87,                0.63537,                0.42935,                 0.9849,                0.93277,                0.86428,                0.91112,                0.68804,                0.88994,                0.40129,                 1.1251,              0.0001486,              0.0001486,              0.0001486
                     88,                0.63629,                0.43439,                0.97259,                0.94112,                0.84953,                0.88263,                0.68911,                0.89672,                0.39814,                 1.1406,              0.0001387,              0.0001387,              0.0001387
                     89,                0.63981,                0.44553,                   0.97,                0.96651,                0.82593,                0.89364,                0.68272,                0.89366,                0.40782,                 1.1346,              0.0001288,              0.0001288,              0.0001288
                     90,                0.65002,                0.42319,                0.97312,                0.94939,                0.82593,                0.88701,                0.68778,                0.90761,                0.42313,                 1.1579,              0.0001189,              0.0001189,              0.0001189
                     91,                0.58254,                 0.3634,                0.93598,                0.93281,                0.84733,                0.89636,                0.68823,                 0.9095,                 0.4079,                 1.1573,               0.000109,               0.000109,               0.000109
                     92,                0.55753,                0.36901,                0.93638,                0.95181,                0.83804,                0.90172,                0.69423,                0.89498,                0.40331,                 1.1424,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.54748,                0.34771,                0.92857,                0.91618,                0.86387,                0.88796,                0.69512,                0.91544,                0.41128,                 1.1664,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.54631,                0.35198,                0.92732,                0.91288,                0.86568,                 0.8645,                 0.6885,                0.90526,                  0.416,                 1.1509,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.51618,                0.33099,                 0.9054,                0.91308,                0.86465,                0.86902,                0.68517,                0.91449,                0.39856,                 1.1532,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.53624,                0.34515,                0.92845,                0.91244,                 0.8657,                0.89406,                0.68994,                0.89514,                0.38944,                 1.1339,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                 0.5241,                0.33581,                0.91236,                0.91675,                0.86439,                0.88713,                0.69432,                0.88362,                0.38298,                  1.125,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.53096,                0.32434,                0.91062,                0.92596,                0.86297,                0.89997,                0.69615,                0.87141,                0.37894,                 1.1124,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.50879,                0.32371,                 0.9084,                0.92507,                0.85906,                0.90689,                0.69636,                0.86479,                0.38169,                  1.108,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.50918,                0.32585,                0.90816,                0.92629,                0.85728,                0.90214,                0.69719,                0.86713,                0.37358,                 1.1077,               1.99e-05,               1.99e-05,               1.99e-05
